ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Ковер (Домо) 2,00*5,00 ов.",,шт,"4 230,00", , ,"1,000", , , , 
"Ковер (Домо) 2,50*3,00 ов.",,шт,"3 102,00", ,"1,000", , , , , 
"Ковер (Домо) 2,50*3,50 ов.",,шт,"3 824,63", ,"1,000", , , , , 
"Ковер (Домо) 2,80*3,80",,шт,"4 245,36", ,"1,000", , , , , 
Ковры (Емма),,,, , , , , , , 
"Ковер (Емма) 1,50*2,30",,шт,"3 567,30", ,"1,000", , , , , 
"Ковер (Емма) 2,00*2,90",,шт,"6 380,00", , , , , , ,"1,000"
Ковры (Измир),,,, , , , , , , 
"Ковер (Измир) 1,50*5,00",,шт,"4 687,50", , , , , ,"1,000", 
"Ковер (Измир) 2,00*3,00 ов.",,шт,"3 750,00", , , , ,"1,000","1,000", 
Ковры (Караван) BCF,,,, , , , , , , 
"Ковер (Караван) BCF 0,60*1,00",,шт,"198,65", , , , , ,"2,000", 
"Ковер (Караван) BCF 0,80*1,50 ов.",,шт,"504,38","4,000", , , , , , 
"Ковер (Караван) BCF 1,50*4,00",,шт,"2 029,20", , , , , , ,"1,000"
"Ковер (Караван) BCF 1,80*2,60 ов.",,шт,"1 582,77", , , , , ,"1,000", 
"Ковер (Караван) BCF 2,00*3,00",,шт,"2 029,20","1,000", , , , , , 
Ковры (Карат),,,, , , , , , , 
"Ковер (Карат) 0,80*1,25",,шт,"960,00", , , , , , ,"1,000"
"Ковер (Карат) 1,00*2,00",,шт,"1 660,00", , , , , , ,"1,000"
"Ковер (Карат) 1,00*3,00",,шт,"2 490,00", , , , , , ,"1,000"
"Ковер (Карат) 1,00*3,00 ов.",,шт,"2 490,00", , , , , , ,"1,000"
Ковры (Карвинг),,,, , , , , , , 
Ковры (Анатолия) карвинг,,,, , , , , , , 
"Ковер (Анатолия) карвинг 2,50*4,00 ов.",,шт,"5 300,00", , , , , , ,"1,000"
Ковры (Витебск) фризе карвинг,,,, , , , , , , 
"Ковер (Витебск) фризе карвинг 0,80*1,50",,шт,"588,00", , , , , , ,"2,000"
"Ковер (Витебск) фризе карвинг 1,00*2,00",,шт,"980,00", , , , , ,"1,000", 
"Ковер (Витебск) фризе карвинг 2,00*4,00",,шт,"3 920,00", , , , ,"1,000", , 
"Ковер (Витебск) фризе карвинг 2,40*3,40",,шт,"5 424,50", , , , ,"1,000", , 
"Ковер (Витебск) фризе карвинг 2,50*5,00",,шт,"6 125,00","1,000","1,000", , , , , 
"Ковер (Витебск) фризе карвинг 2,50*5,00 ов.",,шт,"6 625,00", , , , , ,"1,000", 
Ковры (Камея) карвинг,,,, , , , , , , 
"Ковры (Камея) карвинг 2,00*4,00 ов.",,шт,"5 160,00", , , , , , ,"1,000"
"Ковры (Камея) карвинг 2,00*4,50",,шт,"5 805,00", , ,"1,000", , , , 
Ковры (Турция) карвинг,,,, , , , , , , 
"Ковер (Т.ИК) 0,80*1,50",,шт,"840,00", , , , , , ,"3,000"
"Ковер (Т.ИК) 0,80*1,50 ов.",,шт,"840,00", , , , , , ,"2,000"
"Ковер (Т.ИК) 1,00*2,00",,шт,"1 040,00","1,000", , , , , ,"1,000"
"Ковер (Т.ИК) 1,00*3,00",,шт,"1 560,00","1,000", , , , ,"1,000", 
"Ковер (Т.ИК) 1,50*1,50 ов.",,шт,"1 632,15", ,"1,000", , , , , 
"Ковер (Т.ИК) 1,50*2,30",,шт,"1 945,27", ,"1,000","2,000", , , ,"1,000"
"Ковер (Т.ИК) 1,50*3,00",,шт,"3 150,00", , ,"2,000", , , , 
"Ковер (Т.ИК) 1,50*3,00 ов.",,шт,"3 172,50", , ,"2,000", , ,"1,000","1,000"
"Ковер (Т.ИК) 1,50*4,00",,шт,"4 200,00", , ,"2,000", ,"1,000","1,000", 
"Ковер (Т.ИК) 1,50*4,00 ов.",,шт,"4 218,72", , ,"2,000", ,"2,000", ,"1,000"
"Ковер (Т.ИК) 2,00*2,00",,шт,"2 080,00", , , ,"1,000", , , 
"Ковер (Т.ИК) 2,00*2,00 ов.",,шт,"2 353,87","1,000","1,000", , , , ,"1,000"
"Ковер (Т.ИК) 2,00*3,00",,шт,"2 968,20", ,"1,000","2,000", , , ,"1,000"
"Ковер (Т.ИК) 2,00*3,00 ов.",,шт,"4 785,94", ,"3,000","1,000", ,"1,000", ,"2,000"
"Ковер (Т.ИК) 2,00*4,00",,шт,"5 254,93","1,000", , ,"1,000","3,000","1,000", 
"Ковер (Т.ИК) 2,00*4,00 ов",,шт,"5 640,00", , , , , ,"1,000", 
"Ковер (Т.ИК) 2,00*4,50",,шт,"4 680,00","1,000", , , ,"1,000", , 
"Ковер (Т.ИК) 2,00*5,00",,шт,"4 969,16","1,000", ,"1,000","1,000", ,"1,000","1,000"
"Ковер (Т.ИК) 2,00*5,00 ов.",,шт,"5 702,58", , ,"1,000", ,"2,000", ,"1,000"
"Ковер (Т.ИК) 2,50*3,50",,шт,"4 637,50", ,"1,000", , , , , 
"Ковер (Т.ИК) 2,50*3,50 ов.",,шт,"4 637,50", , ,"2,000", , , , 
"Ковер (Т.ИК) 2,50*4,00",,шт,"5 300,00", , , , , , ,"1,000"
"Ковер (Т.ИК) 2,50*4,00 ов.",,шт,"5 300,00","1,000", , , , , , 
"Ковер (Т.ИК) 2,50*4,50",,шт,"5 962,50", , ,"1,000", , , , 
"Ковер (Т.ИК) 2,50*5,00",,шт,"6 680,00", , ,"1,000", , , , 
"Ковер (Т.ИК) 2,50*5,00 ов.",,шт,"6 643,33", , ,"1,000", , , ,"2,000"
"Ковер (Т.ИК) 3,00*4,00",,шт,"9 180,00", , , , , ,"1,000","1,000"
"Ковер (Т.ИК) 3,00*4,00 ов.",,шт,"7 108,52", , ,"1,000", ,"1,000","1,000","1,000"
"Ковер (Т.ИК) 3,00*5,00",,шт,"7 950,00","1,000","1,000", , , , , 
"Ковер (Т.ИК) 3,00*5,00 ов.",,шт,"8 031,36","1,000", ,"2,000", ,"1,000","1,000","2,000"
Ковры (Каскад),,,, , , , , , , 
"Ковер (Каскад) 0,80*1,50",,шт,"505,92", , ,"1,000", , , ,"2,000"
"Ковер (Каскад) 0,80*1,50 ов.",,шт,"740,40", ,"1,000","1,000", , , ,"2,000"
"Ковер (Каскад) 1,00*1,00 ов.",,шт,"611,00","1,000", , , , ,"1,000","2,000"
"Ковер (Каскад) 1,00*2,00",,шт,"1 206,33", , ,"1,000", , , ,"2,000"
"Ковер (Каскад) 1,00*2,00 ов.",,шт,"1 209,47", , ,"1,000", , ,"1,000","1,000"
"Ковер (Каскад) 1,00*4,00",,шт,"2 368,80", , , , ,"1,000", ,"1,000"
"Ковер (Каскад) 1,50*1,50 ов.",,шт,"1 390,80", ,"1,000","2,000", , , , 
"Ковер (Каскад) 1,50*2,30",,шт,"2 140,07", ,"1,000","1,000", ,"1,000","1,000","1,000"
"Ковер (Каскад) 1,50*2,30 ов.",,шт,"2 148,78", ,"1,000","1,000", , ,"1,000","2,000"
"Ковер (Каскад) 1,50*3,00",,шт,"2 800,58", , ,"1,000", ,"1,000", ,"2,000"
"Ковер (Каскад) 1,50*3,00 ов.",,шт,"2 751,71", ,"1,000","1,000", ,"1,000", ,"2,000"
"Ковер (Каскад) 1,50*4,00",,шт,"3 730,20", , , , ,"1,000", ,"1,000"
"Ковер (Каскад) 1,50*4,00 ов.",,шт,"3 666,00", , , , , , ,"1,000"
"Ковер (Каскад) 1,60*2,30",,шт,"2 248,48", ,"1,000", , , , , 
"Ковер (Каскад) 2,00*2,00 ов.",,шт,"2 444,00", , , , , , ,"1,000"
"Ковер (Каскад) 2,00*3,00",,шт,"3 624,00", , ,"3,000", , ,"1,000","1,000"
"Ковер (Каскад) 2,00*3,00 ов.",,шт,"3 668,48", ,"2,000","3,000", ,"1,000","1,000","2,000"
"Ковер (Каскад) 2,00*4,00",,шт,"4 916,53","1,000", ,"1,000", , ,"1,000","3,000"
"Ковер (Каскад) 2,00*4,00 ов.",,шт,"4 908,40", ,"1,000","1,000", , ,"1,000","1,000"
"Ковер (Каскад) 2,50*3,50",,шт,"3 564,17", ,"1,000","1,000", , , ,"1,000"
"Ковер (Каскад) 2,50*3,50 ов.",,шт,"5 346,25", , ,"1,000", , , ,"1,000"
"Ковер (Каскад) 2,50*4,00",,шт,"6 324,00", , , , , , ,"1,000"
"Ковер (Каскад) 2,50*4,00 ов.",,шт,"6 324,00", , , , , , ,"1,000"
Ковры (Квест),,,, , , , , , , 
"Ковер (Квест) 1,60*2,30 ов.",,шт,"2 144,70", , ,"1,000", , , , 
"Ковер (Квест) 1,60*3,00 ов.",,шт,"2 797,44", , , , , ,"1,000", 
Ковры (Китай),,,, , , , , , , 
Китай (акрил),,,, , , , , , , 
"Ковер (Китай) 0,80*1,50",,шт,"1 140,00", , , , , ,"1,000", 
"Ковер (Китай) 1,10*1,70",,шт,"1 776,50", , , , , , ,"1,000"
"Ковер (Китай) 1,40*2,20",,шт,"2 987,60", , , , , ,"1,000", 
"Ковер (Китай) 1,80*3,60 ов",,шт,"5 961,27","1,000", , , , , , 
"Ковер (Китай) 2,00*2,00",,шт,"3 600,00", , , , , , ,"1,000"
"Ковер (Китай) 2,00*3,00",,шт,"5 700,00", , , , ,"1,000", , 
"Ковер (Китай) 2,30*3,20 ов.",,шт,"7 139,20", , , , ,"1,000", , 
"Ковер (Китай) 2,60*3,60",,шт,"9 610,70", , , , ,"1,000", , 
Ковры (Комфорт),,,, , , , , , , 
"Ковер (Комфорт) 0,60*1,10",,шт,"409,27", , ,"4,000", ,"9,000","1,000","3,000"
"Ковер (Комфорт) 0,60*1,10 ов.",,шт,"336,11","2,000", ,"6,000", ,"2,000","2,000","4,000"
"Ковер (Комфорт) 0,80*1,50",,шт,"688,74", ,"4,000","2,000","2,000","4,000", , 
"Ковер (Комфорт) 0,80*1,50 ов.",,шт,"610,33", ,"1,000","2,000", ,"4,000","3,000", 
"Ковер (Комфорт) 1,00*2,00",,шт,"1 005,20", , , ,"1,000","1,000","1,000", 
"Ковер (Комфорт) 1,00*2,00 ов.",,шт,"1 028,40", ,"1,000", , ,"1,000", , 
"Ковер (Комфорт) 1,20*1,80 ов.",,шт,"1 124,93", , , ,"1,000", , , 
"Ковер (Комфорт) 1,50*2,30",,шт,"2 455,77", , , , ,"1,000","2,000", 
"Ковер (Комфорт) 1,50*2,30 ов.",,шт,"1 806,42", , ,"1,000", ,"1,000", , 
"Ковер (Комфорт) 1,50*3,00",,шт,"2 284,20", , , , , ,"2,000","1,000"
"Ковер (Комфорт) 1,50*3,00 ов.",,шт,"2 299,05", , , , ,"2,000", ,"2,000"
"Ковер (Комфорт) 1,50*4,00",,шт,"3 045,60", , ,"1,000", , ,"1,000", 
"Ковер (Комфорт) 1,50*4,00 ов.",,шт,"3 040,03", , ,"1,000", , , ,"2,000"
"Ковер (Комфорт) 2,00*3,00",,шт,"3 074,69", , , ,"1,000","2,000","1,000","1,000"
"Ковер (Комфорт) 2,00*3,00 ов.",,шт,"3 535,29","1,000", ,"2,000","1,000","1,000", , 
"Ковер (Комфорт) 2,00*4,00",,шт,"4 111,05", , , ,"1,000", ,"1,000", 
"Ковер (Комфорт) 2,00*4,00 ов.",,шт,"4 096,00", , ,"1,000", ,"2,000", , 
"Ковер (Комфорт) 2,00*5,00 ов.",,шт,"4 982,00", , , , ,"1,000", , 
"Ковер (Комфорт) 2,50*4,00 ов.",,шт,"5 208,00", , , ,"1,000", , , 
"Ковер (Комфорт) 3,00*4,00",,шт,"6 249,60", , , , ,"1,000", , 
Ковры (Круиз),,,, , , , , , , 
"Ковер (Круиз) 0,60*1,10",,шт,"310,20","2,000", ,"2,000", ,"1,000", ,"1,000"
"Ковер (Круиз) 0,60*1,10 ов.",,шт,"310,20","4,000", ,"4,000", , ,"2,000", 
"Ковер (Круиз) 0,80*1,50",,шт,"727,28", , ,"6,000", ,"4,000","2,000", 
"Ковер (Круиз) 0,80*1,50 ов.",,шт,"564,00", , ,"7,000","2,000","2,000","1,000", 
"Ковер (Круиз) 0,80*2,00",,шт,"736,96", , , , ,"1,000", , 
"Ковер (Круиз) 0,80*2,00 ов.",,шт,"736,96", , , , ,"1,000", , 
"Ковер (Круиз) 0,80*5,00",,шт,"1 842,40", , , , ,"1,000", , 
"Ковер (Круиз) 1,00*2,00",,шт,"991,00", ,"2,000","1,000", , , , 
"Ковер (Круиз) 1,00*2,00 ов.",,шт,"983,56", , , ,"2,000","1,000", , 
"Ковер (Круиз) 1,00*3,00",,шт,"1 410,00","1,000", , , , , , 
"Ковер (Круиз) 1,00*3,00 ов.",,шт,"1 410,00","1,000", , , , , ,"2,000"
"Ковер (Круиз) 1,00*4,00",,шт,"1 880,00", , , ,"1,000", , , 
"Ковер (Круиз) 1,50*2,30",,шт,"1 615,11","1,000", , ,"1,000", ,"2,000","1,000"
"Ковер (Круиз) 1,50*2,30 ов.",,шт,"1 615,72","1,000", , , ,"1,000","1,000","2,000"
"Ковер (Круиз) 1,50*3,00",,шт,"2 181,53", , , ,"2,000","1,000","1,000", 
"Ковер (Круиз) 1,50*4,00",,шт,"2 964,22", , , ,"1,000", , ,"1,000"
"Ковер (Круиз) 1,50*4,00 ов.",,шт,"2 858,00","1,000", ,"1,000", ,"1,000","1,000", 
"Ковер (Круиз) 1,80*3,00",,шт,"2 538,00", , ,"2,000", , , , 
"Ковер (Круиз) 1,80*4,00",,шт,"3 384,00", , ,"2,000", , , , 
"Ковер (Круиз) 2,00*3,00",,шт,"2 915,35","1,000", , , , ,"1,000", 
"Ковер (Круиз) 2,00*3,00 ов.",,шт,"2 820,00", , ,"3,000", , ,"1,000", 
"Ковер (Круиз) 2,00*4,00 ов.",,шт,"3 760,00","1,000","1,000","2,000", , ,"1,000","1,000"
"Ковер (Круиз) 2,00*5,00",,шт,"4 418,00", , , , , ,"1,000", 
"Ковер (Круиз) 2,00*5,00 ов.",,шт,"4 700,00", , , , , ,"2,000", 
"Ковер (Круиз) 2,50*3,50",,шт, , , ,"1,000", , , , 
"Ковер (Круиз) 2,50*4,00",,шт,"4 418,00","1,000", , , , , , 
"Ковер (Круиз) 2,50*4,00 ов.",,шт,"4 637,33","1,000", , , ,"2,000", , 
"Ковер (Круиз) 3,00*4,00",,шт,"5 721,60", , ,"1,000", ,"1,000", , 
Ковры (Лагуна BCF),,,, , , , , , , 
"Ковер (Лагуна BCF) 0,80*1,50 ов.",,шт,"324,00", , , , ,"3,000", , 
"Ковер (Лагуна BCF) 1,00*2,00",,шт,"570,00", , , ,"1,000","1,000", , 
"Ковер (Лагуна BCF) 1,00*2,00 ов.",,шт,"570,00", , , ,"1,000", , , 
"Ковер (Лагуна BCF) 1,50*4,00 ов.",,шт,"1 620,00", , , ,"2,000","1,000", , 
"Ковер (Лагуна BCF) 2,00*4,00 ов.",,шт,"2 160,00", , , ,"1,000", , , 
Ковры (Лайла де Люкс),,,, , , , , , , 
"Ковер (Лайла де люкс) 0,60*1,00",,шт,"167,63","2,000", ,"24,000","6,000","8,000","1,000","2,000"
"Ковер (Лайла де люкс) 0,60*1,00 ов.",,шт,"168,45","1,000","2,000","16,000","6,000","9,000", ,"3,000"
"Ковер (Лайла де люкс) 0,70*1,40",,шт,"277,62", , ,"28,000","4,000","2,000", ,"4,000"
"Ковер (Лайла де люкс) 0,70*1,40 ов.",,шт,"278,68", , ,"28,000","6,000","3,000", ,"2,000"
"Ковер (Лайла де люкс) 0,80*1,50",,шт,"357,78","3,000","2,000","24,000","6,000","8,000", ,"2,000"
"Ковер (Лайла де люкс) 0,80*1,50 ов.",,шт,"337,75","6,000", ,"44,000","7,000","6,000", , 
"Ковер (Лайла де люкс) 1,00*2,00",,шт,"577,34", , ,"8,000","5,000","1,000", ,"1,000"
"Ковер (Лайла де люкс) 1,00*2,00 ов.",,шт,"554,24", , ,"10,000","6,000","1,000", ,"2,000"
"Ковер (Лайла де люкс) 1,00*3,00",,шт,"836,92", ,"2,000","5,000","1,000","1,000","1,000","1,000"
"Ковер (Лайла де люкс) 1,00*3,00 ов.",,шт,"878,79", ,"1,000","4,000","1,000","1,000", ,"1,000"
"Ковер (Лайла де люкс) 1,00*4,00",,шт,"1 554,60", , , , ,"1,000", ,"1,000"
"Ковер (Лайла де люкс) 1,00*4,00 ов.",,шт,"2 000,00", , , , , , ,"1,000"
"Ковер (Лайла де люкс) 1,20*1,50",,шт,"613,35", ,"1,000", , , , , 
"Ковер (Лайла де люкс) 1,20*1,80",,шт,"622,96","1,000", ,"2,000","2,000","1,000", ,"1,000"
"Ковер (Лайла де люкс) 1,40*1,90",,шт,"773,95","1,000","1,000","8,000","3,000","1,000","1,000","3,000"
"Ковер (Лайла де люкс) 1,40*1,90 ов.",,шт,"766,79", , ,"12,000","3,000","1,000", ,"4,000"
"Ковер (Лайла де люкс) 1,40*2,90",,шт,"1 127,10","1,000", ,"6,000","2,000","1,000","1,000","2,000"
"Ковер (Лайла де люкс) 1,40*2,90 ов.",,шт,"1 132,78", , ,"5,000","3,000", , ,"3,000"
"Ковер (Лайла де люкс) 1,40*3,90 ов.",,шт,"1 488,40", , , , ,"1,000", , 
"Ковер (Лайла де люкс) 1,50*2,00 ов.",,шт,"831,90", , , ,"1,000","1,000", , 
"Ковер (Лайла де люкс) 1,50*3,00 ов.",,шт,"1 247,85", , , ,"1,000", , , 
"Ковер (Лайла де люкс) 1,50*4,00",,шт,"1 663,80", , , ,"1,000", , ,"3,000"
"Ковер (Лайла де люкс) 1,50*4,00 ов.",,шт,"1 886,50", , , ,"1,000", ,"1,000","1,000"
"Ковер (Лайла де люкс) 1,50*4,50",,шт,"1 840,05", ,"1,000", , , , , 
"Ковер (Лайла де люкс) 1,50*4,60",,шт,"1 880,94", , , , ,"1,000", , 
"Ковер (Лайла де люкс) 1,60*2,30",,шт,"1 020,45", , ,"1,000", , , ,"1,000"
"Ковер (Лайла де люкс) 1,80*2,60",,шт,"1 978,26", , ,"2,000", ,"1,000","1,000", 
"Ковер (Лайла де люкс) 1,80*2,60 ов.",,шт,"1 284,54","1,000", ,"2,000","1,000", , ,"1,000"
"Ковер (Лайла де люкс) 1,80*3,60",,шт,"2 237,20","1,000", ,"1,000", , , , 
"Ковер (Лайла де люкс) 1,80*3,60 ов.",,шт,"1 796,90", , , ,"1,000", , ,"1,000"
"Ковер (Лайла де люкс) 1,80*4,60",,шт,"2 296,04", ,"2,000", , , , , 
"Ковер (Лайла де люкс) 1,80*4,60 ов.",,шт,"2 296,04", , , , ,"1,000", , 
"Ковер (Лайла де люкс) 2,00*3,00",,шт,"1 824,26","1,000","4,000","5,000","4,000","4,000","3,000","3,000"
"Ковер (Лайла де люкс) 2,00*3,00 ов.",,шт,"1 679,94", , ,"8,000","4,000","2,000", ,"2,000"
"Ковер (Лайла де люкс) 2,00*4,00",,шт,"2 295,58", ,"1,000","7,000","2,000","1,000", ,"2,000"
"Ковер (Лайла де люкс) 2,00*4,00 ов.",,шт,"2 234,29", , ,"7,000","4,000","3,000", ,"2,000"
"Ковер (Лайла де люкс) 2,00*5,00",,шт,"2 794,17", , , ,"2,000","1,000", , 
"Ковер (Лайла де люкс) 2,00*5,00 ов.",,шт,"2 773,00", ,"1,000", ,"1,000","1,000", ,"2,000"
"Ковер (Лайла де люкс) 2,40*3,40",,шт,"2 505,38", ,"1,000", ,"1,000","1,000", ,"1,000"
"Ковер (Лайла де люкс) 2,40*3,40 ов.",,шт,"2 288,68", ,"1,000", ,"1,000", , , 
"Ковер (Лайла де люкс) 2,40*4,00",,шт,"2 662,08", ,"1,000", , , , , 
"Ковер (Лайла де люкс) 2,40*4,00 ов.",,шт,"2 662,08", , , ,"1,000", , , 
"Ковер (Лайла де люкс) 2,40*5,00",,шт,"3 440,40", , , , , , ,"2,000"
"Ковер (Лайла де люкс) 3,00*4,00",,шт,"3 365,70", , , , , , ,"1,000"
"Ковер (Лайла де люкс) 3,00*5,00",,шт,"4 159,50", ,"1,000", , , , ,"1,000"
"Ковер (Лайла де люкс) 3,00*5,00 ов.",,шт,"4 159,50", ,"1,000", , , , , 
Ковры (Лидер) BCF,,,, , , , , , , 
"Ковер (Лидер) BCF 0,60*1,00",,шт,"400,00", , , , , ,"1,000", 
"Ковер (Лидер) BCF 0,80*1,50",,шт,"800,00","4,000", , , , , , 
"Ковер (Лидер) BCF 0,80*1,50 ов.",,шт,"405,84", , , , , ,"1,000", 
"Ковер (Лидер) BCF 1,50*4,00",,шт,"2 029,20", , , , , , ,"1,000"
"Ковер (Лидер) BCF 2,00*3,00 ов.",,шт,"2 029,20", , , ,"1,000", , , 
"Ковер (Лидер) BCF 2,00*4,00 ов.",,шт,"2 705,60", , , ,"1,000", , , 
Ковры (Люберцы),,,, , , , , , , 
Золушка,,,, , , , , , , 
"Ковер (Люберцы) Золушка 0,80*1,50",,шт,"320,76", , , ,"1,000", ,"2,000","1,000"
"Ковер (Люберцы) Золушка 0,80*1,50 ов.",,шт,"320,76","1,000", , , , ,"1,000", 
"Ковер (Люберцы) Золушка 1,00*3,00 ов.",,шт,"801,90","1,000", , , , , , 
"Ковер (Люберцы) Золушка 1,50*2,05",,шт,"821,94","2,000", , , , , , 
"Ковер (Люберцы) Золушка 1,50*3,00",,шт,"1 202,85", , , , , , ,"1,000"
"Ковер (Люберцы) Золушка 1,50*4,00",,шт,"1 603,80","1,000", , , , , , 
"Ковер (Люберцы) Золушка 1,80*1,80 ов.",,шт,"866,05","1,000", , , ,"1,000", , 
"Ковер (Люберцы) Золушка 1,80*3,50",,шт,"1 683,99", , , ,"1,000","1,000", , 
"Ковер (Люберцы) Золушка 1,80*3,55",,шт,"1 708,05", , , , , ,"1,000", 
"Ковер (Люберцы) Золушка 1,80*3,55 ов.",,шт,"1 708,05", , , , , ,"1,000", 
"Ковер (Люберцы) Золушка 1,80*4,55",,шт,"2 189,19", , , , , ,"1,000", 
"Ковер (Люберцы) Золушка 2,00*3,00",,шт,"1 603,80", ,"1,000", , , , , 
"Ковер (Люберцы) Золушка 2,00*3,00 ов.",,шт,"1 603,80","1,000", , , , ,"2,000", 
"Ковер (Люберцы) Золушка 2,00*4,00",,шт,"2 758,93","1,000", , , , , ,"2,000"
"Ковер (Люберцы) Золушка 2,00*4,00 ов.",,шт,"3 708,36", , ,"1,000", , ,"1,000", 
"Ковер (Люберцы) Золушка 2,00*5,00",,шт,"2 673,00", , , , , ,"1,000", 
"Ковер (Люберцы) Золушка 2,00*5,00 ов.",,шт,"2 673,00","1,000", , , ,"1,000","1,000", 
"Ковер (Люберцы) Золушка 2,50*4,00",,шт,"3 821,10", , ,"2,000","1,000", ,"2,000", 
"Ковер (Люберцы) Золушка 2,50*4,00 ов.",,шт,"2 673,00","1,000", , ,"1,000","1,000", ,"1,000"
"Ковер (Люберцы) Золушка 2,50*5,00",,шт,"3 341,25","1,000", , , , , , 
"Ковер (Люберцы) Золушка 2,60*3,55 ов.",,шт,"2 467,18", , , ,"1,000","1,000", , 
"Ковер (Люберцы) Золушка 2,60*4,55 ов.",,шт,"3 162,16", , , ,"1,000", , , 
"Ковер (Люберцы) Золушка 2,60*5,55",,шт,"3 757,57", , , , , ,"1,000", 
"Ковер (Люберцы) Золушка 3,00*4,00",,шт,"3 207,60","1,000", , , , , , 
"Ковер (Люберцы) Золушка 3,00*5,00",,шт,"4 009,50", , ,"1,000", , , , 
Пейзаж,,,, , , , , , , 
"Ковер (Люберцы) пейзаж 2,00*3,00",,шт,"2 460,00", ,"1,000", , , , , 
Ковры (Люксор),,,, , , , , , , 
"Ковер (Люксор) 1,50*2,30 ов.",,шт,"2 951,82", , , , ,"1,000", , 
"Ковер (Люксор) 1,50*3,00 ов.",,шт,"3 850,20", ,"2,000", , , , , 
"Ковер (Люксор) 2,00*3,00 ов.",,шт,"5 005,80", ,"1,000", , ,"2,000", ,"1,000"
Ковры (Молдова),,,, , , , , , , 
Ковер (Вива) шаги,,,, , , , , , , 
"Ковер (Вива) шаги 0,60*1,00 ов.",,шт,"367,56", , , , ,"1,000", ,"1,000"
"Ковер (Вива) шаги 1,20*1,80 ов.",,шт,"1 323,22", , , , ,"2,000", , 
"Ковер (Вива) шаги 1,60*2,30 ов.",,шт,"2 254,37","1,000", , , , , , 
Ковер (Молдова) пейзаж,,,, , , , , , , 
"Ковер (Молдова) пейзаж 2,00*3,00",,шт,"1 380,00", , , , , ,"1,000", 
Ковер (Молдова) шаги,,,, , , , , , , 
"Ковер (Молдова) шаги 2,00*4,00",,шт,"4 600,00","1,000", , , , , , 
Ковры (Молдова) Конфетти,,,, , , , , , , 
"Ковер (Молдова) Конфетти 0,80*1,50",,шт,"511,20", , , ,"2,000","1,000", , 
Ковры (Молдова) Лотус,,,, , , , , , , 
"Ковер (Молдова) Лотус 0,80*1,50",,шт,"462,00", , , , , , ,"2,000"
"Ковер (Молдова) Лотус 0,80*1,50 ов.",,шт,"661,92", , , , , , ,"1,000"
"Ковер (Молдова) Лотус 2,00*3,00",,шт,"2 352,00", , , ,"1,000", , , 
"Ковер (Молдова) 2,00*4,00",,шт,"2 960,00", , , , , , ,"1,000"
"Ковер (Молдова) 2,20*4,00",,шт,"1 922,80","1,000", , , , , , 
"Ковер (Молдова) 2,50*5,00",,шт,"4 011,25", , , , , , ,"1,000"
"Ковер (Молдова) 2,50*5,00 ов.",,шт,"4 011,25", , , , , , ,"1,000"
"Ковер (Молдова) 2,60*4,50 ов.",,шт,"2 533,05", , , , ,"1,000", , 
"Ковер (Молдова) 3,00*4,00 ов.",,шт,"4 440,00", , , , , , ,"1,000"
Ковры (Назенде),,,, , , , , , , 
"Ковер (Назенде) 1,20*1,20 ов.",,шт,"2 232,00", , , , , , ,"1,000"
"Ковер (Назенде) 1,60*2,30",,шт,"5 704,00", , , , , , ,"1,000"
Ковры (Олимпос),,,, , , , , , , 
"Ковер (Олимпос) 0,80*1,50 ов.",,шт,"1 350,00", , , , ,"1,000", , 
Ковры (Омега) хитсет,,,, , , , , , , 
"Ковер (Омега) хитсет 1,50*5,00",,шт,"4 631,25", , , ,"1,000", , ,"1,000"
"Ковер (Омега) хитсет 1,50*5,00 ов.",,шт,"4 631,25", , , , ,"1,000", , 
